Fecha,Pozo,Dias,Qo mes (b),Qo prom. mes(bd),Qg mes (MMpc),Qg prom. mes (MMpcd),Qw mes (b),Qw prom. mes (bd),Fw (%),RGA (m3/m3),Días de Operación
01/03/1999,MOLOACÁN-802,31,538.48,17.37,0.58,0.02,363.92,11.74,40.33,191.23,31
01/03/1999,MOLOACÁN-803,31,"1,945.82",62.77,0.98,0.03,"4,646.17",149.88,70.48,89.91,31
01/03/1999,MOLOACÁN-804,31,"1,154.00",37.23,1.39,0.04,"2,358.79",76.09,67.15,215.01,31
01/03/1999,MOLOACÁN-806,31,494.57,15.95,0.31,0.01,112.79,3.64,18.57,111.49,31
01/03/1999,MOLOACÁN-807,31,"1,154.00",37.23,0.87,0.03,"2,358.79",76.09,67.15,133.78,31
01/03/1999,MOLOACÁN-812,31,594.34,19.17,0.50,0.02,240.05,7.74,28.77,149.74,31
01/03/1999,MOLOACÁN-816,31,741.86,23.93,0.80,0.03,"1,860.99",60.03,71.50,193.24,31
01/03/1999,MOLOACÁN-821,31,692.83,22.35,0.60,0.02,"2,071.75",66.83,74.94,154.84,31
01/03/1999,MOLOACÁN-822,31,247.29,7.98,0.46,0.01,381.74,12.31,60.69,334.46,31
01/03/1999,MOLOACÁN-823,31,659.43,21.27,0.62,0.02,"1,347.88",43.48,67.15,167.23,31
01/03/1999,MOLOACÁN-834,31,164.86,5.32,0.09,0.00,27.27,0.88,14.19,100.34,31
01/03/1999,MOLOACÁN-836,31,164.86,5.32,0.15,0.00,7.07,0.23,4.11,167.23,31
01/03/1999,MOLOACÁN-842,31,329.71,10.64,0.50,0.02,827.11,26.68,71.50,267.57,31
01/03/1999,MOLOACÁN-844,31,"1,107.52",35.73,0.92,0.03,"2,661.92",85.87,70.62,148.66,31
01/03/1999,MOLOACÁN-845,31,573.58,18.50,0.55,0.02,"1,355.66",43.73,70.27,171.97,31
01/03/1999,MOLOACÁN-856,31,247.29,7.98,0.19,0.01,6.72,0.22,2.65,133.78,31
01/03/1999,MOLOACÁN-861,31,"1,265.24",40.81,0.72,0.02,"3,020.83",97.45,70.48,101.73,31
01/03/1999,MOLOACÁN-862,31,132.73,4.28,0.27,0.01,255.37,8.24,65.80,360.11,31
01/03/1999,MOLOACÁN-863,31,273.73,8.83,0.40,0.01,557.45,17.98,67.07,259.87,31
01/03/1999,MOLOACÁN-865,31,164.86,5.32,0.50,0.02,512.02,16.52,75.64,535.13,31
01/03/1999,MOLOACÁN-891,31,149.81,4.83,0.11,0.00,694.01,22.39,82.25,133.77,31
01/03/1999,MOLOACÁN-893,31,191.66,6.18,0.23,0.01,318.63,10.28,62.44,211.29,31
01/03/1999,MOLOACÁN-895,31,327.42,10.56,0.22,0.01,299.05,9.65,47.74,117.11,31
01/03/1999,MOLOACÁN-979,31,306.72,9.89,0.27,0.01,201.75,6.51,39.68,157.54,31
01/04/1999,MOLOACÁN-102D,30,169.10,5.64,0.37,0.01,65.73,2.19,27.99,388.96,30
01/04/1999,MOLOACÁN-111,30,169.10,5.64,0.16,0.01,65.73,2.19,27.99,166.70,30
01/04/1999,MOLOACÁN-112,30,253.65,8.46,0.16,0.01,41.81,1.39,14.15,111.13,30
01/04/1999,MOLOACÁN-122,30,545.22,18.17,0.39,0.01,567.04,18.90,50.98,127.70,30
01/04/1999,MOLOACÁN-132,30,183.45,6.11,0.14,0.00,136.29,4.54,42.63,132.29,30
01/04/1999,MOLOACÁN-186,30,482.69,16.09,0.77,0.03,616.25,20.54,56.08,283.62,30
01/04/1999,MOLOACÁN-313,30,519.87,17.33,0.12,0.00,"1,470.28",49.01,73.88,41.43,30
01/04/1999,MOLOACÁN-316,30,136.54,4.55,0.19,0.01,208.02,6.93,60.37,246.48,30
01/04/1999,MOLOACÁN-319,30,251.51,8.38,0.11,0.00,124.85,4.16,33.17,81.22,30
01/04/1999,MOLOACÁN-321,30,125.76,4.19,0.06,0.00,2.78,0.09,2.16,81.22,30
01/04/1999,MOLOACÁN-324,30,125.76,4.19,0.11,0.00,107.01,3.57,45.97,162.44,30
01/04/1999,MOLOACÁN-325,30,736.19,24.54,0.14,0.00,629.57,20.99,46.10,33.04,30
01/04/1999,MOLOACÁN-327,30,259.94,8.66,0.12,0.00,735.14,24.50,73.88,82.86,30
01/04/1999,MOLOACÁN-329,30,628.78,20.96,0.11,0.00,832.32,27.74,56.97,32.49,30
01/04/1999,MOLOACÁN-330,30,377.27,12.58,0.11,0.00,"1,123.64",37.45,74.86,54.15,30
01/04/1999,MOLOACÁN-331,30,251.51,8.38,0.11,0.00,235.01,7.83,48.30,81.22,30
01/04/1999,MOLOACÁN-337,30,418.82,13.96,0.16,0.01,"1,009.70",33.66,70.68,68.62,30
01/04/1999,MOLOACÁN-339,30,503.02,16.77,0.11,0.00,"1,498.18",49.94,74.86,40.61,30
01/04/1999,MOLOACÁN-340,30,125.76,4.19,0.11,0.00,62.42,2.08,33.17,162.44,30
01/04/1999,MOLOACÁN-343,30,251.51,8.38,0.11,0.00,749.09,24.97,74.86,81.22,30
01/04/1999,MOLOACÁN-344,30,592.02,19.73,0.13,0.00,69.66,2.32,10.53,38.60,30
01/04/1999,MOLOACÁN-345,30,368.98,12.30,0.12,0.00,43.83,1.46,10.62,58.48,30
01/04/1999,MOLOACÁN-346,30,"1,348.51",44.95,0.12,0.00,563.50,18.78,29.47,16.03,30
01/04/1999,MOLOACÁN-350,30,119.90,4.00,0.12,0.00,35.20,1.17,22.70,176.82,30
01/04/1999,MOLOACÁN-351,30,125.76,4.19,0.17,0.01,7.72,0.26,5.79,243.67,30
01/04/1999,MOLOACÁN-352,30,125.76,4.19,0.11,0.00,3.29,0.11,2.55,162.44,30
01/04/1999,MOLOACÁN-355,30,503.02,16.77,0.34,0.01,350.93,11.70,41.09,121.83,30
01/04/1999,MOLOACÁN-357,30,377.27,12.58,0.11,0.00,25.56,0.85,6.35,54.15,30
01/04/1999,MOLOACÁN-360,30,84.55,2.82,0.11,0.00,52.20,1.74,38.17,222.26,30
01/04/1999,MOLOACÁN-365,30,"1,383.31",46.11,0.17,0.01,"1,177.14",39.24,45.97,22.15,30
01/04/1999,MOLOACÁN-367,30,169.10,5.64,0.11,0.00,31.14,1.04,15.55,111.13,30
01/04/1999,MOLOACÁN-370,30,125.76,4.19,0.11,0.00,374.55,12.48,74.86,162.44,30
01/04/1999,MOLOACÁN-375,30,503.02,16.77,0.11,0.00,"2,330.51",77.68,82.25,40.61,30
01/04/1999,MOLOACÁN-376,30,628.78,20.96,0.23,0.01,416.16,13.87,39.83,64.98,30
01/04/1999,MOLOACÁN-385,30,169.10,5.64,0.11,0.00,318.55,10.62,65.32,111.13,30
01/04/1999,MOLOACÁN-387,30,349.70,11.66,0.28,0.01,667.02,22.23,65.61,141.40,30
01/04/1999,MOLOACÁN-388,30,377.27,12.58,0.23,0.01,65.14,2.17,14.72,108.30,30
01/04/1999,MOLOACÁN-391,30,338.20,11.27,0.42,0.01,507.08,16.90,59.99,222.26,30
01/04/1999,MOLOACÁN-395,30,377.27,12.58,0.23,0.01,164.43,5.48,30.36,108.30,30
01/04/1999,MOLOACÁN-396,30,125.76,4.19,0.06,0.00,62.42,2.08,33.17,81.22,30
01/04/1999,MOLOACÁN-397,30,125.76,4.19,0.23,0.01,17.36,0.58,12.13,324.89,30
01/04/1999,MOLOACÁN-398,30,125.76,4.19,0.11,0.00,62.42,2.08,33.17,162.44,30
01/04/1999,MOLOACÁN-399,30,125.76,4.19,0.17,0.01,374.55,12.48,74.86,243.67,30
01/04/1999,MOLOACÁN-4,30,169.10,5.64,0.11,0.00,22.73,0.76,11.85,111.13,30
01/04/1999,MOLOACÁN-406,30,125.76,4.19,0.06,0.00,54.81,1.83,30.36,81.22,30
01/04/1999,MOLOACÁN-407,30,125.76,4.19,0.11,0.00,54.81,1.83,30.36,162.44,30
01/04/1999,MOLOACÁN-408,30,255.59,8.52,0.12,0.00,129.16,4.31,33.57,82.00,30
01/04/1999,MOLOACÁN-409,30,125.76,4.19,0.11,0.00,166.46,5.55,56.97,162.44,30
01/04/1999,MOLOACÁN-410,30,259.94,8.66,0.23,0.01,735.14,24.50,73.88,160.18,30
01/04/1999,MOLOACÁN-414,30,84.55,2.82,0.05,0.00,29.25,0.98,25.71,111.13,30
01/04/1999,MOLOACÁN-415,30,84.55,2.82,0.11,0.00,25.72,0.86,23.33,222.26,30
01/04/1999,MOLOACÁN-416,30,269.62,8.99,0.17,0.01,317.22,10.57,54.06,109.39,30
01/04/1999,MOLOACÁN-418,30,176.04,5.87,0.12,0.00,60.75,2.03,25.66,120.43,30
01/04/1999,MOLOACÁN-421,30,251.51,8.38,0.06,0.00,17.04,0.57,6.35,40.61,30
01/04/1999,MOLOACÁN-422,30,125.76,4.19,0.06,0.00,1.25,0.04,0.99,81.22,30
01/04/1999,MOLOACÁN-428,30,84.55,2.82,0.05,0.00,52.20,1.74,38.17,111.13,30
01/04/1999,MOLOACÁN-431,30,119.62,3.99,0.11,0.00,374.60,12.49,75.80,162.43,30
01/04/1999,MOLOACÁN-432,30,377.27,12.58,0.11,0.00,15.29,0.51,3.89,54.15,30
01/04/1999,MOLOACÁN-434,30,125.76,4.19,0.11,0.00,1.51,0.05,1.18,162.44,30
01/04/1999,MOLOACÁN-435,30,125.76,4.19,0.11,0.00,10.40,0.35,7.64,162.44,30
01/04/1999,MOLOACÁN-437,30,125.76,4.19,0.11,0.00,0.50,0.02,0.40,162.44,30
01/04/1999,MOLOACÁN-438,30,125.76,4.19,0.06,0.00,166.46,5.55,56.97,81.22,30
01/04/1999,MOLOACÁN-439,30,97.91,3.26,0.11,0.00,4.77,0.16,4.64,193.65,25
01/04/1999,MOLOACÁN-440,30,269.62,8.99,0.17,0.01,200.98,6.70,42.71,109.39,30
01/04/1999,MOLOACÁN-442,30,852.64,28.42,1.13,0.04,"2,727.78",90.93,76.19,236.23,30
01/04/1999,MOLOACÁN-454,30,169.10,5.64,0.21,0.01,394.40,13.15,69.99,222.26,30
01/04/1999,MOLOACÁN-455,30,105.42,3.51,0.05,0.00,10.47,0.35,9.03,82.57,25
01/04/1999,MOLOACÁN-457,30,84.55,2.82,0.05,0.00,18.88,0.63,18.25,111.13,30
01/04/1999,MOLOACÁN-459,30,628.78,20.96,0.40,0.01,45.28,1.51,6.72,113.71,30
01/04/1999,MOLOACÁN-461,30,297.08,9.90,0.36,0.01,"1,224.32",40.81,80.47,217.10,30
01/04/1999,MOLOACÁN-462,30,591.85,19.73,0.42,0.01,155.85,5.20,20.84,127.01,30
01/04/1999,MOLOACÁN-463,30,503.02,16.77,0.17,0.01,86.85,2.90,14.72,60.92,30
01/04/1999,MOLOACÁN-466,30,251.51,8.38,0.11,0.00,109.62,3.65,30.36,81.22,30
01/04/1999,MOLOACÁN-467,30,125.76,4.19,0.06,0.00,4.58,0.15,3.51,81.22,30
01/04/1999,MOLOACÁN-468,30,210.84,7.03,0.10,0.00,26.50,0.88,11.16,82.57,25
01/04/1999,MOLOACÁN-470,30,125.76,4.19,0.11,0.00,1.25,0.04,0.99,162.44,30
01/04/1999,MOLOACÁN-471,30,275.75,9.19,0.17,0.01,4.64,0.15,1.65,109.21,30
01/04/1999,MOLOACÁN-472,30,125.76,4.19,0.11,0.00,0.50,0.02,0.40,162.44,30
01/04/1999,MOLOACÁN-474,30,125.76,4.19,0.11,0.00,27.74,0.92,18.07,162.44,30
01/04/1999,MOLOACÁN-475,30,503.02,16.77,0.23,0.01,3.01,0.10,0.59,81.22,30
01/04/1999,MOLOACÁN-483,30,169.10,5.64,0.11,0.00,51.44,1.71,23.33,111.13,30
01/04/1999,MOLOACÁN-485,30,651.12,21.70,0.24,0.01,148.89,4.96,18.61,65.43,30
01/04/1999,MOLOACÁN-486,30,125.76,4.19,0.06,0.00,0.50,0.02,0.40,81.22,30
01/04/1999,MOLOACÁN-511,30,760.95,25.37,0.47,0.02,8.01,0.27,1.04,111.13,30
01/04/1999,MOLOACÁN-513,30,253.65,8.46,0.26,0.01,328.21,10.94,56.41,185.22,30
01/04/1999,MOLOACÁN-514,30,169.10,5.64,0.11,0.00,176.71,5.89,51.10,111.13,30
01/04/1999,MOLOACÁN-515,30,169.10,5.64,0.21,0.01,104.40,3.48,38.17,222.26,30
01/04/1999,MOLOACÁN-518,30,253.65,8.46,0.32,0.01,345.10,11.50,57.64,222.26,30
01/04/1999,MOLOACÁN-523,30,84.55,2.82,0.16,0.01,103.93,3.46,55.14,333.39,30
01/04/1999,MOLOACÁN-524,30,275.17,9.17,0.43,0.01,862.90,28.76,75.82,276.70,30
01/04/1999,MOLOACÁN-530,30,84.55,2.82,0.16,0.01,103.93,3.46,55.14,333.39,30
01/04/1999,MOLOACÁN-582,30,169.10,5.64,0.11,0.00,88.40,2.95,34.33,111.13,30
