fecha_produccion,Produccion_barriles_t,prediction,Qomes_b_t_q90,Qomes_b_t_q10,prediccion_q90,prediccion_q10,residuo
2008-01-01,286.76688524590173,286.6945175173988,573.03,185.86,538.1068252375294,184.9985290212143,0.07236772850291118
2008-02-01,265.6319672131147,262.8421808214904,506.77,168.06,512.873208895842,171.16806658427376,2.789786391624318
2008-03-01,287.60883333333334,286.11736029272544,583.13,188.72,556.8326112748915,188.77880086056297,1.4914730406079002
2008-04-01,282.7050819672132,275.0650080562242,559.39,181.21,561.7973326483992,180.11171106128273,7.640073910988974
2008-05-01,292.30983870967754,288.71972577349237,569.929,189.76,575.9209501117298,186.61733344424505,3.5901129361851645
2008-06-01,283.0139344262296,278.8138380024312,560.28,183.78,552.6997846854415,179.92186159813622,4.200096423798357
2008-07-01,284.09999999999997,283.17548124088756,559.7399999999999,187.6,560.1620550182262,188.6745113811784,0.9245187591124022
2008-08-01,287.2639344262294,286.627323995301,554.88,192.63,564.8472811107589,189.29066167247765,0.6366104309283855
2008-09-01,279.1140000000001,273.0779473307071,546.953,188.69,531.5568972457204,183.11303719858168,6.036052669292985
2008-10-01,283.3253703703705,279.9717050542079,514.1540000000005,193.18,509.0056630887316,190.94220876207388,3.3536653161625622
2008-11-01,288.3624074074075,283.8684455265589,545.12,188.77,540.1840035474092,185.95319176076316,4.4939618808485875
2008-12-01,292.9481666666667,298.46042076056494,558.3499999999999,187.83,554.5944876113224,192.81634480313514,-5.512254093898264
2009-01-01,277.37301886792454,278.95156110490683,517.58,186.59,552.4125794085669,192.2787755284208,-1.5785422369822868
2009-02-01,263.35181818181826,263.94429504447055,505.37,175.43,517.46638577761,178.0193619597912,-0.5924768626522905
2009-03-01,299.0439682539681,294.07111528716,573.624,193.81,558.0143455682215,192.53151377700982,4.972852966808091
2009-04-01,290.07661290322574,287.9225094840308,562.754,188.4,556.719651628739,187.39488783459575,2.1541034191949393
2009-05-01,293.6818032786885,291.207370311518,559.52,192.92,551.8161160262747,193.66668802786882,2.4744329671705145
2009-06-01,273.21428571428567,277.3913513494366,510.63200000000063,184.49,513.7583018426155,187.5309759419167,-4.177065635150939
2009-07-01,290.5999999999999,285.95867723971713,556.24,191.65,547.3016282499752,190.38340174402592,4.641322760282776
2009-08-01,278.34624999999994,282.9826979224216,512.0210000000004,186.82100000000003,523.5219805607488,190.06792024817238,-4.636447922421667
2009-09-01,270.2003225806452,269.757007424377,526.8679999999998,188.17,521.454529687162,184.7572730507427,0.44331515626822693
2009-10-01,291.8101587301588,287.4851863916333,561.11,193.86,560.0945106007084,189.7111859621799,4.32497233852547
2009-11-01,256.54952380952375,272.26562169973374,480.2440000000005,168.3,507.36584343784523,185.36246587522095,-15.716097890209994
2009-12-01,297.39645161290326,288.20490062426995,563.29,193.03,553.0158800322502,189.30799736932727,9.19155098863331
2010-01-01,301.96475409836063,296.1799250344233,563.29,195.05,567.6996954395383,189.57417751657306,5.784829063937309
2010-02-01,259.08583333333326,264.7332333014071,474.15700000000004,178.07,515.6006719986275,176.0596736479494,-5.647399968073842
2010-03-01,279.36120689655183,281.1295870101385,447.4990000000007,197.19,476.760125671669,191.90835812017133,-1.7683801135866588
2010-04-01,271.7776785714287,272.3341421390432,463.655,190.62,464.7189547068232,187.94662242342082,-0.5564635676145144
2010-05-01,282.0141666666666,279.6640821226733,407.5730000000001,196.043,411.31771258713457,193.3784814313118,2.3500845439933187
2010-06-01,273.3861016949154,272.056227254457,394.97600000000017,189.39,441.5780919685478,186.47277822666632,1.3298744404584113
2010-07-01,273.39644067796604,274.8045192866853,393.94000000000005,195.42,389.50254428262144,192.14250835181474,-1.4080786087192791
2010-08-01,277.30655172413776,278.8262085462327,392.81,194.98,412.56727987474136,191.5221632376032,-1.5196568220949302
2010-09-01,266.43928571428575,266.4059972264511,384.345,188.69,380.6201971825703,186.75037783783227,0.0332884878346249
2010-10-01,267.44322033898294,269.1433044739596,390.89,192.21999999999997,387.08245016042287,191.4287662791036,-1.7000841349766347
2010-11-01,255.45283333333325,254.54743511468712,373.73499999999996,182.99,367.5630771652074,183.30555090519437,0.9053982186461269
