fecha_produccion,Produccion_gasMMpc_t,prediction_gas,Qomes_b_t_q90,Qomes_b_t_q10,prediccion_q90,prediccion_q10,residuo
2007-07-01,0.14854838709677415,0.14820044024031875,0.2929999999999999,0.1,0.29324555289572085,0.09980290433332466,0.00034794685645539447
2007-08-01,0.15333333333333335,0.15351605847887229,0.322,0.1,0.32267348442800803,0.09984526904331702,-0.0001827251455389367
2007-09-01,0.14590163934426223,0.1488881350956247,0.29,0.09,0.32240369309921285,0.09144147477910515,-0.002986495751362478
2007-10-01,0.1421666666666667,0.14323431812990337,0.2370000000000001,0.08000000000000002,0.2390353932375746,0.09733083102161472,-0.001067651463236674
2007-11-01,0.14816666666666664,0.14729336837517523,0.24600000000000008,0.1,0.24600339413574016,0.09929290188433043,0.0008732982914914089
2007-12-01,0.15438596491228068,0.15446633059581968,0.34,0.1,0.33680496697360396,0.09896888147894597,-8.036568353900209e-05
2008-01-01,0.15311475409836062,0.15502177213054633,0.34,0.1,0.3242481192881437,0.09985576409666716,-0.0019070180321857089
2008-02-01,0.14262295081967202,0.14130470521616703,0.31,0.09,0.3061043559760699,0.08991283993226996,0.0013182456035049916
2008-03-01,0.15516666666666662,0.1552141632721805,0.34,0.1,0.3301612299749037,0.09939937333541388,-4.749660551386925e-05
2008-04-01,0.1532786885245901,0.15203513174078548,0.33,0.1,0.3295571595921117,0.09958712239491938,0.0012435567838046113
2008-05-01,0.15790322580645158,0.15824569696851445,0.347,0.1,0.3464695841242717,0.10006508523282455,-0.000342471162062874
2008-06-01,0.15016393442622952,0.1501880420814265,0.31,0.1,0.3095651066296243,0.09866125972013316,-2.410765519697544e-05
2008-07-01,0.15193548387096775,0.15245901778333967,0.30199999999999994,0.1,0.3037027386452762,0.10020417635000842,-0.0005235339123719207
2008-08-01,0.1516393442622951,0.15162607967602193,0.31,0.1,0.3099760876151703,0.09989036114590731,1.3264586273181722e-05
2008-09-01,0.14933333333333326,0.14879112280223772,0.31300000000000006,0.1,0.31258785344894485,0.09982844047983815,0.0005422105310955438
2008-10-01,0.15555555555555564,0.15571885584468748,0.29600000000000026,0.10999999999999999,0.28851893466706563,0.10923232959490314,-0.0001633002891318347
