index,NOMBRE_DE_POZO,NOMBRE_DEL_ELEMENTO_GEOLOGICO,MNEMONICO_DEL_ELEMENTO_GEOLOGICO,TIPO_UNIDAD_ESTRATIGRAFICA,CIMA_(md),BASE_(md),"NIVEL_DE_REFERENCIA
"
437,MOLOACAN-427,ENCANTO,ENCT,FMN,203,526,MR
438,MOLOACAN-428,CONCEPCION SUPERIOR,CNSR,FMN,0,200,MR
439,MOLOACAN-428,ENCANTO,ENCT,FMN,200,537,MR
440,MOLOACAN-428,OLIGOCENO,OLGN,FMN,537,644,MR
441,MOLOACAN-429,CONCEPCION INFERIOR,CNIR,FMN,0,111,MR
442,MOLOACAN-429,ENCANTO,ENCT,FMN,111,600,MR
443,MOLOACAN-429,OLIGOCENO,OLGN,FMN,600,642,MR
444,MOLOACAN-431,CONCEPCION INFERIOR,CNIR,FMN,0,114,MR
445,MOLOACAN-431,ENCANTO,ENCT,FMN,114,525,MR
446,MOLOACAN-432,CONCEPCION SUPERIOR,CNSR,FMN,0,208,MR
447,MOLOACAN-432,ENCANTO,ENCT,FMN,208,550,MR
448,MOLOACAN-433,CONCEPCION INFERIOR,CNIR,FMN,0,155,MR
449,MOLOACAN-433,ENCANTO,ENCT,FMN,155,500,MR
450,MOLOACAN-434,CONCEPCION SUPERIOR,CNSR,FMN,0,190,MR
451,MOLOACAN-434,ENCANTO,ENCT,FMN,190,608,MR
452,MOLOACAN-434,OLIGOCENO,OLGN,FMN,608,642,MR
453,MOLOACAN-434,ANHIDRITA,ANHI,FMN,642,643,MR
454,MOLOACAN-435,CONCEPCION SUPERIOR,CNSR,FMN,0,178,MR
455,MOLOACAN-435,ENCANTO,ENCT,FMN,178,573,MR
456,MOLOACAN-436,CONCEPCION SUPERIOR,CNSR,FMN,0,198,MR
457,MOLOACAN-436,ENCANTO,ENCT,FMN,198,500,MR
458,MOLOACAN-437,CONCEPCION SUPERIOR,CNSR,FMN,0,181,MR
459,MOLOACAN-437,ENCANTO,ENCT,FMN,181,450,MR
460,MOLOACAN-438,CONCEPCION SUPERIOR,CNSR,FMN,0,190,MR
461,MOLOACAN-438,ENCANTO,ENCT,FMN,190,525,MR
462,MOLOACAN-439,CONCEPCION SUPERIOR,CNSR,FMN,0,178,MR
463,MOLOACAN-439,ENCANTO,ENCT,FMN,178,548,MR
464,MOLOACAN-439,OLIGOCENO,OLGN,FMN,548,550,MR
465,MOLOACAN-440,CONCEPCION SUPERIOR,CNSR,FMN,0,225,MR
466,MOLOACAN-440,ENCANTO,ENCT,FMN,225,650,MR
467,MOLOACAN-441,CONCEPCION SUPERIOR,CNSR,FMN,0,240,MR
468,MOLOACAN-441,ENCANTO,ENCT,FMN,240,683,MR
469,MOLOACAN-441,OLIGOCENO,OLGN,FMN,683,700,MR
470,MOLOACAN-442,CONCEPCION SUPERIOR,CNSR,FMN,0,215,MR
471,MOLOACAN-442,ENCANTO,ENCT,FMN,215,700,MR
472,MOLOACAN-443,CONCEPCION INFERIOR,CNIR,FMN,0,134,MR
473,MOLOACAN-443,ENCANTO,ENCT,FMN,134,635,MR
474,MOLOACAN-443,OLIGOCENO,OLGN,FMN,635,678,MR
475,MOLOACAN-443,ANHIDRITA,ANHI,FMN,678,698,MR
476,MOLOACAN-444,CONCEPCION SUPERIOR,CNSR,FMN,0,180,MR
477,MOLOACAN-444,ENCANTO,ENCT,FMN,180,550,MR
478,MOLOACAN-445,CONCEPCION INFERIOR,CNIR,FMN,0,550,MR
479,MOLOACAN-446,CONCEPCION SUPERIOR,CNSR,FMN,0,154,MR
480,MOLOACAN-446,CONCEPCION INFERIOR,CNIR,FMN,154,296,MR
481,MOLOACAN-446,ENCANTO,ENCT,FMN,296,500,MR
482,MOLOACAN-447,CONCEPCION SUPERIOR,CNSR,FMN,0,150,MR
483,MOLOACAN-447,CONCEPCION INFERIOR,CNIR,FMN,150,273,MR
484,MOLOACAN-447,ENCANTO,ENCT,FMN,273,598,MR
485,MOLOACAN-448,CONCEPCION SUPERIOR,CNSR,FMN,0,110,MR
486,MOLOACAN-448,CONCEPCION INFERIOR,CNIR,FMN,110,258,MR
487,MOLOACAN-448,ENCANTO,ENCT,FMN,258,550,MR
488,MOLOACAN-449,CONCEPCION SUPERIOR,CNSR,FMN,0,155,MR
489,MOLOACAN-449,ENCANTO,ENCT,FMN,155,485,MR
490,MOLOACAN-449,DEPOSITO,DPST,FMN,485,550,MR
491,MOLOACAN-450,CONCEPCION SUPERIOR,CNSR,FMN,0,187,MR
492,MOLOACAN-450,ENCANTO,ENCT,FMN,187,450,MR
493,MOLOACAN-451,CONCEPCION SUPERIOR,CNSR,FMN,0,149,MR
494,MOLOACAN-451,ENCANTO,ENCT,FMN,149,527,MR
495,MOLOACAN-451,DEPOSITO,DPST,FMN,527,550,MR
496,MOLOACAN-452,CONCEPCION SUPERIOR,CNSR,FMN,0,168,MR
497,MOLOACAN-452,ENCANTO,ENCT,FMN,168,569,MR
498,MOLOACAN-452,DEPOSITO,DPST,FMN,569,689,MR
499,MOLOACAN-452,ANHIDRITA,ANHI,FMN,689,696,MR
500,MOLOACAN-453,CONCEPCION INFERIOR,CNIR,FMN,0,90,MR
501,MOLOACAN-453,ENCANTO,ENCT,FMN,90,500,MR
502,MOLOACAN-454,CONCEPCION SUPERIOR,CNSR,FMN,0,75,MR
503,MOLOACAN-454,ENCANTO,ENCT,FMN,75,500,MR
504,MOLOACAN-455,CONCEPCION INFERIOR,CNIR,FMN,0,144,MR
505,MOLOACAN-455,ENCANTO,ENCT,FMN,144,500,MR
506,MOLOACAN-456,CONCEPCION SUPERIOR,CNSR,FMN,0,105,MR
507,MOLOACAN-456,CONCEPCION INFERIOR,CNIR,FMN,105,227,MR
508,MOLOACAN-456,ENCANTO,ENCT,FMN,227,745,MR
509,MOLOACAN-456,DEPOSITO,DPST,FMN,745,880,MR
510,MOLOACAN-456,ANHIDRITA,ANHI,FMN,880,883,MR
511,MOLOACAN-457,CONCEPCION SUPERIOR,CNSR,FMN,0,192,MR
512,MOLOACAN-457,ENCANTO,ENCT,FMN,192,604,MR
513,MOLOACAN-458,CONCEPCION SUPERIOR,CNSR,FMN,0,199,MR
514,MOLOACAN-458,ENCANTO,ENCT,FMN,199,590,MR
515,MOLOACAN-458,DEPOSITO,DPST,FMN,590,650,MR
516,MOLOACAN-459,CONCEPCION SUPERIOR,CNSR,FMN,0,160,MR
517,MOLOACAN-459,ENCANTO,ENCT,FMN,160,497,MR
518,MOLOACAN-459,DEPOSITO,DPST,FMN,497,563,MR
519,MOLOACAN-459,ANHIDRITA,ANHI,FMN,563,600,MR
520,MOLOACAN-460,CONCEPCION INFERIOR,CNIR,FMN,0,140,MR
521,MOLOACAN-460,ENCANTO,ENCT,FMN,140,500,MR
522,MOLOACAN-461,CONCEPCION SUPERIOR,CNSR,FMN,0,158,MR
523,MOLOACAN-461,ENCANTO,ENCT,FMN,158,500,MR
524,MOLOACAN-462,CONCEPCION INFERIOR,CNIR,FMN,0,198,MR
525,MOLOACAN-462,ENCANTO,ENCT,FMN,198,600,MR
526,MOLOACAN-463,CONCEPCION INFERIOR,CNIR,FMN,0,635,MR
527,MOLOACAN-463,DEPOSITO,DPST,FMN,635,660,MR
528,MOLOACAN-464,CONCEPCION INFERIOR,CNIR,FMN,0,500,MR
529,MOLOACAN-465,CONCEPCION SUPERIOR,CNSR,FMN,0,116,MR
530,MOLOACAN-465,CONCEPCION INFERIOR,CNIR,FMN,116,243,MR
531,MOLOACAN-465,ENCANTO,ENCT,FMN,243,675,MR
532,MOLOACAN-466,CONCEPCION INFERIOR,CNIR,FMN,0,145,MR
533,MOLOACAN-466,ENCANTO,ENCT,FMN,145,450,MR
534,MOLOACAN-467,CONCEPCION INFERIOR,CNIR,FMN,0,180,MR
535,MOLOACAN-467,ENCANTO,ENCT,FMN,180,500,MR
536,MOLOACAN-468,CONCEPCION INFERIOR,CNIR,FMN,0,170,MR
537,MOLOACAN-468,ENCANTO,ENCT,FMN,170,450,MR
538,MOLOACAN-469,CONCEPCION SUPERIOR,CNSR,FMN,0,95,MR
539,MOLOACAN-469,CONCEPCION INFERIOR,CNIR,FMN,95,210,MR
540,MOLOACAN-469,ENCANTO,ENCT,FMN,210,500,MR
541,MOLOACAN-470,CONCEPCION INFERIOR,CNIR,FMN,0,146,MR
542,MOLOACAN-470,ENCANTO,ENCT,FMN,146,592,MR
543,MOLOACAN-470,DEPOSITO,DPST,FMN,592,670,MR
544,MOLOACAN-470,ANHIDRITA,ANHI,FMN,670,673,MR
545,MOLOACAN-471,CONCEPCION INFERIOR,CNIR,FMN,0,152,MR
546,MOLOACAN-471,ENCANTO,ENCT,FMN,152,550,MR
547,MOLOACAN-472,CONCEPCION INFERIOR,CNIR,FMN,0,151,MR
548,MOLOACAN-472,ENCANTO,ENCT,FMN,151,450,MR
549,MOLOACAN-473,CONCEPCION INFERIOR,CNIR,FMN,0,190,MR
550,MOLOACAN-473,ENCANTO,ENCT,FMN,190,500,MR
551,MOLOACAN-474,CONCEPCION INFERIOR,CNIR,FMN,0,170,MR
552,MOLOACAN-474,ENCANTO,ENCT,FMN,170,450,MR
553,MOLOACAN-475,CONCEPCION INFERIOR,CNIR,FMN,0,195,MR
554,MOLOACAN-475,ENCANTO,ENCT,FMN,195,500,MR
555,MOLOACAN-476,CONCEPCION INFERIOR,CNIR,FMN,0,182,MR
556,MOLOACAN-476,ENCANTO,ENCT,FMN,182,425,MR
557,MOLOACAN-477,CONCEPCION SUPERIOR,CNSR,FMN,0,100,MR
558,MOLOACAN-477,CONCEPCION INFERIOR,CNIR,FMN,100,240,MR
559,MOLOACAN-477,ENCANTO,ENCT,FMN,240,450,MR
560,MOLOACAN-480,CONCEPCION SUPERIOR,CNSR,FMN,0,102,MR
561,MOLOACAN-480,CONCEPCION INFERIOR,CNIR,FMN,102,229,MR
562,MOLOACAN-480,ENCANTO,ENCT,FMN,229,700,MR
563,MOLOACAN-481,CONCEPCION SUPERIOR,CNSR,FMN,0,225,MR
564,MOLOACAN-481,ENCANTO,ENCT,FMN,225,700,MR
565,MOLOACAN-483,CONCEPCION INFERIOR,CNIR,FMN,0,165,MR
566,MOLOACAN-483,ENCANTO,ENCT,FMN,165,500,MR
567,MOLOACAN-485,CONCEPCION INFERIOR,CNIR,FMN,0,465,MR
568,MOLOACAN-486,CONCEPCION INFERIOR,CNIR,FMN,0,500,MR
569,MOLOACAN-5,CONCEPCION SUPERIOR,CNSR,FMN,0,173,MR
570,MOLOACAN-5,ENCANTO,ENCT,FMN,173,603,MR
571,MOLOACAN-5,ANHIDRITA,ANHI,FMN,603,611,MR
572,MOLOACAN-500,CONCEPCION SUPERIOR,CNSR,FMN,0,182,MR
573,MOLOACAN-500,ENCANTO,ENCT,FMN,182,600,MR
574,MOLOACAN-501,CONCEPCION SUPERIOR,CNSR,FMN,0,148,MR
575,MOLOACAN-501,ENCANTO,ENCT,FMN,148,596,MR
576,MOLOACAN-501,OLIGOCENO,OLGN,FMN,596,601,MR
577,MOLOACAN-502,CONCEPCION SUPERIOR,CNSR,FMN,0,194,MR
578,MOLOACAN-502,ENCANTO,ENCT,FMN,194,635,MR
579,MOLOACAN-502,OLIGOCENO,OLGN,FMN,635,800,MR
580,MOLOACAN-503,CONCEPCION SUPERIOR,CNSR,FMN,0,198,MR
581,MOLOACAN-503,ENCANTO,ENCT,FMN,198,664,MR
582,MOLOACAN-503,OLIGOCENO,OLGN,FMN,664,800,MR
583,MOLOACAN-504,CONCEPCION SUPERIOR,CNSR,FMN,0,200,MR
584,MOLOACAN-504,ENCANTO,ENCT,FMN,200,645,MR
585,MOLOACAN-504,OLIGOCENO,OLGN,FMN,645,688,MR
586,MOLOACAN-505,CONCEPCION SUPERIOR,CNSR,FMN,0,175,MR
587,MOLOACAN-505,ENCANTO,ENCT,FMN,175,605,MR
588,MOLOACAN-505,OLIGOCENO,OLGN,FMN,605,741,MR
589,MOLOACAN-506,CONCEPCION SUPERIOR,CNSR,FMN,0,157,MR
590,MOLOACAN-506,ENCANTO,ENCT,FMN,157,581,MR
591,MOLOACAN-506,OLIGOCENO,OLGN,FMN,581,600,MR
592,MOLOACAN-507,CONCEPCION SUPERIOR,CNSR,FMN,0,162,MR
593,MOLOACAN-507,ENCANTO,ENCT,FMN,162,600,MR
594,MOLOACAN-507,OLIGOCENO,OLGN,FMN,600,600,MR
595,MOLOACAN-508,CONCEPCION SUPERIOR,CNSR,FMN,0,155,MR
596,MOLOACAN-508,ENCANTO,ENCT,FMN,155,580,MR
597,MOLOACAN-508,OLIGOCENO,OLGN,FMN,580,647,MR
598,MOLOACAN-509,CONCEPCION SUPERIOR,CNSR,FMN,0,135,MR
599,MOLOACAN-509,ENCANTO,ENCT,FMN,135,536,MR
600,MOLOACAN-510,CONCEPCION SUPERIOR,CNSR,FMN,0,150,MR
601,MOLOACAN-510,ENCANTO,ENCT,FMN,150,550,MR
602,MOLOACAN-511,CONCEPCION SUPERIOR,CNSR,FMN,0,199,MR
603,MOLOACAN-511,ENCANTO,ENCT,FMN,199,600,MR
604,MOLOACAN-512,CONCEPCION INFERIOR,CNIR,FMN,0,190,MR
605,MOLOACAN-512,ENCANTO,ENCT,FMN,190,550,MR
606,MOLOACAN-513,CONCEPCION SUPERIOR,CNSR,FMN,0,198,MR
607,MOLOACAN-513,ENCANTO,ENCT,FMN,198,600,MR
608,MOLOACAN-515,CONCEPCION SUPERIOR,CNSR,FMN,0,215,MR
609,MOLOACAN-515,ENCANTO,ENCT,FMN,215,600,MR
610,MOLOACAN-518,CONCEPCION INFERIOR,CNIR,FMN,0,196,MR
611,MOLOACAN-518,ENCANTO,ENCT,FMN,196,600,MR
612,MOLOACAN-519,CONCEPCION INFERIOR,CNIR,FMN,0,165,MR
613,MOLOACAN-519,ENCANTO,ENCT,FMN,165,575,MR
614,MOLOACAN-520,CONCEPCION INFERIOR,CNIR,FMN,0,140,MR
615,MOLOACAN-520,ENCANTO,ENCT,FMN,140,500,MR
616,MOLOACAN-521,CONCEPCION INFERIOR,CNIR,FMN,0,120,MR
617,MOLOACAN-521,ENCANTO,ENCT,FMN,120,528,MR
618,MOLOACAN-522,CONCEPCION INFERIOR,CNIR,FMN,0,110,MR
619,MOLOACAN-522,ENCANTO,ENCT,FMN,110,500,MR
620,MOLOACAN-523,CONCEPCION INFERIOR,CNIR,FMN,0,105,MR
621,MOLOACAN-523,ENCANTO,ENCT,FMN,105,536,MR
622,MOLOACAN-524,CONCEPCION INFERIOR,CNIR,FMN,0,500,MR
623,MOLOACAN-530,CONCEPCION INFERIOR,CNIR,FMN,0,110,MR
624,MOLOACAN-530,ENCANTO,ENCT,FMN,110,450,MR
625,MOLOACAN-546,CONCEPCION INFERIOR,CNIR,FMN,0,166,MR
626,MOLOACAN-546,ENCANTO,ENCT,FMN,166,603,MR
627,MOLOACAN-546,DEPOSITO,DPST,FMN,603,664,MR
628,MOLOACAN-566,CONCEPCION INFERIOR,CNIR,FMN,0,162,MR
629,MOLOACAN-566,ENCANTO,ENCT,FMN,162,604,MR
630,MOLOACAN-566,DEPOSITO,DPST,FMN,604,663,MR
631,MOLOACAN-582,CONCEPCION INFERIOR,CNIR,FMN,0,200,MR
632,MOLOACAN-582,ENCANTO,ENCT,FMN,200,650,MR
633,MOLOACAN-584,CONCEPCION INFERIOR,CNIR,FMN,0,197,MR
634,MOLOACAN-584,ENCANTO,ENCT,FMN,197,664,MR
635,MOLOACAN-584,DEPOSITO,DPST,FMN,664,741,MR
636,MOLOACAN-586,CONCEPCION INFERIOR,CNIR,FMN,0,136,MR
637,MOLOACAN-586,ENCANTO,ENCT,FMN,136,634,MR
638,MOLOACAN-586,DEPOSITO,DPST,FMN,634,750,MR
639,MOLOACAN-587,CONCEPCION SUPERIOR,CNSR,FMN,0,70,MR
640,MOLOACAN-587,CONCEPCION INFERIOR,CNIR,FMN,70,200,MR
641,MOLOACAN-587,ENCANTO,ENCT,FMN,200,625,MR
642,MOLOACAN-589,CONCEPCION SUPERIOR,CNSR,FMN,0,196,MR
643,MOLOACAN-589,ENCANTO,ENCT,FMN,196,600,MR
644,MOLOACAN-6,CONCEPCION INFERIOR,CNIR,FMN,0,137,MR
645,MOLOACAN-6,ENCANTO,ENCT,FMN,137,625,MR
646,MOLOACAN-6,OLIGOCENO,OLGN,FMN,625,730,MR
647,MOLOACAN-6,ANHIDRITA,ANHI,FMN,730,731,MR
648,MOLOACAN-602,CONCEPCION INFERIOR,CNIR,FMN,0,104,MR
649,MOLOACAN-602,ENCANTO,ENCT,FMN,104,492,MR
650,MOLOACAN-602,OLIGOCENO,OLGN,FMN,492,559,MR
651,MOLOACAN-602,ANHIDRITA,ANHI,FMN,559,563,MR
652,MOLOACAN-603,FILISOLA,FLSL,FMN,0,25,MR
653,MOLOACAN-603,CONCEPCION SUPERIOR,CNSR,FMN,25,135,MR
654,MOLOACAN-603,CONCEPCION INFERIOR,CNIR,FMN,135,255,MR
655,MOLOACAN-603,ENCANTO,ENCT,FMN,255,555,MR
656,MOLOACAN-603,ANHIDRITA,ANHI,FMN,555,558,MR
657,MOLOACAN-604,CONCEPCION SUPERIOR,CNSR,FMN,0,146,MR
658,MOLOACAN-604,ENCANTO,ENCT,FMN,146,485,MR
659,MOLOACAN-604,ANHIDRITA,ANHI,FMN,485,505,MR
660,MOLOACAN-605,FILISOLA,FLSL,FMN,0,60,MR
661,MOLOACAN-605,CONCEPCION SUPERIOR,CNSR,FMN,60,205,MR
662,MOLOACAN-605,CONCEPCION INFERIOR,CNIR,FMN,205,299,MR
663,MOLOACAN-605,ENCANTO,ENCT,FMN,299,558,MR
664,MOLOACAN-605,ANHIDRITA,ANHI,FMN,558,560,MR
665,MOLOACAN-606,FILISOLA,FLSL,FMN,0,159,MR
666,MOLOACAN-606,CONCEPCION INFERIOR,CNIR,FMN,159,245,MR
667,MOLOACAN-606,ENCANTO,ENCT,FMN,245,523,MR
668,MOLOACAN-606,ANHIDRITA,ANHI,FMN,523,548,MR
669,MOLOACAN-607,FILISOLA,FLSL,FMN,0,40,MR
670,MOLOACAN-607,CONCEPCION SUPERIOR,CNSR,FMN,40,158,MR
671,MOLOACAN-607,CONCEPCION INFERIOR,CNIR,FMN,158,240,MR
672,MOLOACAN-607,ENCANTO,ENCT,FMN,240,474,MR
673,MOLOACAN-607,ANHIDRITA,ANHI,FMN,474,485,MR
674,MOLOACAN-608,FILISOLA,FLSL,FMN,0,172,MR
675,MOLOACAN-608,CONCEPCION INFERIOR,CNIR,FMN,172,265,MR
676,MOLOACAN-608,ENCANTO,ENCT,FMN,265,535,MR
677,MOLOACAN-608,ANHIDRITA,ANHI,FMN,535,536,MR
678,MOLOACAN-609,FILISOLA,FLSL,FMN,0,160,MR
679,MOLOACAN-609,CONCEPCION INFERIOR,CNIR,FMN,160,285,MR
680,MOLOACAN-609,ENCANTO,ENCT,FMN,285,550,MR
681,MOLOACAN-610,CONCEPCION SUPERIOR,CNSR,FMN,0,166,MR
682,MOLOACAN-610,CONCEPCION INFERIOR,CNIR,FMN,166,243,MR
683,MOLOACAN-610,ENCANTO,ENCT,FMN,243,425,MR
684,MOLOACAN-611,CONCEPCION SUPERIOR,CNSR,FMN,0,138,MR
685,MOLOACAN-611,CONCEPCION INFERIOR,CNIR,FMN,138,215,MR
686,MOLOACAN-611,ENCANTO,ENCT,FMN,215,515,MR
687,MOLOACAN-611,ANHIDRITA,ANHI,FMN,515,523,MR
688,MOLOACAN-613,CONCEPCION SUPERIOR,CNSR,FMN,0,185,MR
689,MOLOACAN-613,CONCEPCION INFERIOR,CNIR,FMN,185,257,MR
690,MOLOACAN-613,ENCANTO,ENCT,FMN,257,541,MR
691,MOLOACAN-613,ANHIDRITA,ANHI,FMN,541,542,MR
692,MOLOACAN-614,CONCEPCION SUPERIOR,CNSR,FMN,0,180,MR
693,MOLOACAN-614,CONCEPCION INFERIOR,CNIR,FMN,180,260,MR
694,MOLOACAN-614,ENCANTO,ENCT,FMN,260,513,MR
695,MOLOACAN-614,ANHIDRITA,ANHI,FMN,513,513,MR
696,MOLOACAN-615,FILISOLA,FLSL,FMN,0,210,MR
697,MOLOACAN-615,CONCEPCION INFERIOR,CNIR,FMN,210,270,MR
698,MOLOACAN-615,ENCANTO,ENCT,FMN,270,602,MR
699,MOLOACAN-615,ANHIDRITA,ANHI,FMN,602,602,MR
700,MOLOACAN-616,CONCEPCION SUPERIOR,CNSR,FMN,0,164,MR
701,MOLOACAN-616,CONCEPCION INFERIOR,CNIR,FMN,164,265,MR
702,MOLOACAN-616,ENCANTO,ENCT,FMN,265,622,MR
703,MOLOACAN-616,ANHIDRITA,ANHI,FMN,622,623,MR
704,MOLOACAN-617,CONCEPCION SUPERIOR,CNSR,FMN,0,153,MR
705,MOLOACAN-617,CONCEPCION INFERIOR,CNIR,FMN,153,265,MR
706,MOLOACAN-617,ENCANTO,ENCT,FMN,265,554,MR
707,MOLOACAN-617,ANHIDRITA,ANHI,FMN,554,555,MR
708,MOLOACAN-618,FILISOLA,FLSL,FMN,0,209,MR
709,MOLOACAN-618,CONCEPCION INFERIOR,CNIR,FMN,209,295,MR
710,MOLOACAN-618,ENCANTO,ENCT,FMN,295,590,MR
711,MOLOACAN-618,ANHIDRITA,ANHI,FMN,590,605,MR
712,MOLOACAN-619,CONCEPCION SUPERIOR,CNSR,FMN,0,174,MR
713,MOLOACAN-619,CONCEPCION INFERIOR,CNIR,FMN,174,273,MR
714,MOLOACAN-619,ENCANTO,ENCT,FMN,273,661,MR
715,MOLOACAN-620,CONCEPCION SUPERIOR,CNSR,FMN,0,305,MR
716,MOLOACAN-620,ENCANTO,ENCT,FMN,305,1180,MR
717,MOLOACAN-620,CONCEPCION INFERIOR,CNIR,FMN,1180,580,MR
718,MOLOACAN-621,CONCEPCION SUPERIOR,CNSR,FMN,0,174,MR
719,MOLOACAN-621,CONCEPCION INFERIOR,CNIR,FMN,174,275,MR
720,MOLOACAN-621,ENCANTO,ENCT,FMN,275,671,MR
721,MOLOACAN-621,ANHIDRITA,ANHI,FMN,671,671,MR
722,MOLOACAN-622,CONCEPCION SUPERIOR,CNSR,FMN,0,151,MR
723,MOLOACAN-622,CONCEPCION INFERIOR,CNIR,FMN,151,265,MR
724,MOLOACAN-622,ENCANTO,ENCT,FMN,265,575,MR
725,MOLOACAN-623,FILISOLA,FLSL,FMN,0,226,MR
726,MOLOACAN-623,CONCEPCION INFERIOR,CNIR,FMN,226,336,MR
727,MOLOACAN-623,ENCANTO,ENCT,FMN,336,686,MR
728,MOLOACAN-623,ANHIDRITA,ANHI,FMN,686,686,MR
729,MOLOACAN-624,FILISOLA,FLSL,FMN,0,222,MR
730,MOLOACAN-624,CONCEPCION INFERIOR,CNIR,FMN,222,306,MR
731,MOLOACAN-624,ENCANTO,ENCT,FMN,306,620,MR
732,MOLOACAN-625,CONCEPCION SUPERIOR,CNSR,FMN,0,245,MR
733,MOLOACAN-625,CONCEPCION INFERIOR,CNIR,FMN,245,366,MR
734,MOLOACAN-625,ENCANTO,ENCT,FMN,366,758,MR
735,MOLOACAN-625,ANHIDRITA,ANHI,FMN,758,759,MR
736,MOLOACAN-626,FILISOLA,FLSL,FMN,0,270,MR
737,MOLOACAN-626,CONCEPCION INFERIOR,CNIR,FMN,270,355,MR
738,MOLOACAN-626,ENCANTO,ENCT,FMN,355,680,MR
739,MOLOACAN-627,FILISOLA,FLSL,FMN,0,240,MR
740,MOLOACAN-627,CONCEPCION INFERIOR,CNIR,FMN,240,359,MR
741,MOLOACAN-627,ENCANTO,ENCT,FMN,359,680,MR
742,MOLOACAN-628,FILISOLA,FLSL,FMN,0,234,MR
743,MOLOACAN-628,CONCEPCION INFERIOR,CNIR,FMN,234,312,MR
744,MOLOACAN-628,ENCANTO,ENCT,FMN,312,700,MR
745,MOLOACAN-629,CONCEPCION SUPERIOR,CNSR,FMN,0,197,MR
746,MOLOACAN-629,CONCEPCION INFERIOR,CNIR,FMN,197,288,MR
747,MOLOACAN-629,ENCANTO,ENCT,FMN,288,662,MR
748,MOLOACAN-629,ANHIDRITA,ANHI,FMN,662,663,MR
749,MOLOACAN-630,PARAJE SOLO,PJSL,FMN,0,214,MR
750,MOLOACAN-630,CONCEPCION INFERIOR,CNIR,FMN,214,304,MR
751,MOLOACAN-630,ENCANTO,ENCT,FMN,304,660,MR
752,MOLOACAN-631,FILISOLA,FLSL,FMN,0,273,MR
753,MOLOACAN-631,CONCEPCION INFERIOR,CNIR,FMN,273,395,MR
754,MOLOACAN-631,ENCANTO,ENCT,FMN,395,700,MR
755,MOLOACAN-631,DEPOSITO,DPST,FMN,700,751,MR
756,MOLOACAN-632,CONCEPCION SUPERIOR,CNSR,FMN,0,280,MR
757,MOLOACAN-632,CONCEPCION INFERIOR,CNIR,FMN,280,402,MR
758,MOLOACAN-632,ENCANTO,ENCT,FMN,402,800,MR
759,MOLOACAN-633,FILISOLA,FLSL,FMN,0,225,MR
760,MOLOACAN-633,CONCEPCION INFERIOR,CNIR,FMN,225,351,MR
761,MOLOACAN-633,ENCANTO,ENCT,FMN,351,717,MR
762,MOLOACAN-634,CONCEPCION SUPERIOR,CNSR,FMN,0,236,MR
763,MOLOACAN-634,CONCEPCION INFERIOR,CNIR,FMN,236,330,MR
764,MOLOACAN-634,ENCANTO,ENCT,FMN,330,695,MR
765,MOLOACAN-635,CONCEPCION SUPERIOR,CNSR,FMN,0,238,MR
766,MOLOACAN-635,CONCEPCION INFERIOR,CNIR,FMN,238,355,MR
767,MOLOACAN-635,ENCANTO,ENCT,FMN,355,705,MR
768,MOLOACAN-635,ANHIDRITA,ANHI,FMN,705,705,MR
769,MOLOACAN-636,CONCEPCION SUPERIOR,CNSR,FMN,0,213,MR
770,MOLOACAN-636,CONCEPCION INFERIOR,CNIR,FMN,213,320,MR
771,MOLOACAN-636,ENCANTO,ENCT,FMN,320,600,MR
772,MOLOACAN-637,CONCEPCION SUPERIOR,CNSR,FMN,0,182,MR
773,MOLOACAN-637,CONCEPCION INFERIOR,CNIR,FMN,182,292,MR
774,MOLOACAN-637,ENCANTO,ENCT,FMN,292,774,MR
775,MOLOACAN-637,ANHIDRITA,ANHI,FMN,774,778,MR
776,MOLOACAN-638,CONCEPCION SUPERIOR,CNSR,FMN,0,209,MR
777,MOLOACAN-638,CONCEPCION INFERIOR,CNIR,FMN,209,328,MR
778,MOLOACAN-638,ENCANTO,ENCT,FMN,328,663,MR
779,MOLOACAN-638,ANHIDRITA,ANHI,FMN,663,744,MR
780,MOLOACAN-639,CONCEPCION SUPERIOR,CNSR,FMN,0,157,MR
781,MOLOACAN-639,CONCEPCION INFERIOR,CNIR,FMN,157,285,MR
782,MOLOACAN-639,ENCANTO,ENCT,FMN,285,550,MR
783,MOLOACAN-640,CONCEPCION SUPERIOR,CNSR,FMN,0,141,MR
784,MOLOACAN-640,CONCEPCION INFERIOR,CNIR,FMN,141,251,MR
785,MOLOACAN-640,ENCANTO,ENCT,FMN,251,450,MR
786,MOLOACAN-641,CONCEPCION SUPERIOR,CNSR,FMN,0,245,MR
787,MOLOACAN-641,CONCEPCION INFERIOR,CNIR,FMN,245,321,MR
788,MOLOACAN-641,ENCANTO,ENCT,FMN,321,800,MR
789,MOLOACAN-642,FILISOLA,FLSL,FMN,0,180,MR
790,MOLOACAN-642,CONCEPCION SUPERIOR,CNSR,FMN,180,312,MR
791,MOLOACAN-642,CONCEPCION INFERIOR,CNIR,FMN,312,395,MR
792,MOLOACAN-642,ENCANTO,ENCT,FMN,395,620,MR
793,MOLOACAN-643,CONCEPCION SUPERIOR,CNSR,FMN,0,205,MR
794,MOLOACAN-643,CONCEPCION INFERIOR,CNIR,FMN,205,315,MR
