index,NOMBRE_DE_POZO,NOMBRE_DEL_ELEMENTO_GEOLOGICO,MNEMONICO_DEL_ELEMENTO_GEOLOGICO,TIPO_UNIDAD_ESTRATIGRAFICA,CIMA_(md),BASE_(md),"NIVEL_DE_REFERENCIA
"
223,MOLOACAN-350,CONCEPCION INFERIOR,CNIR,FMN,75,200,MR
224,MOLOACAN-350,ENCANTO,ENCT,FMN,200,525,MR
225,MOLOACAN-351,CONCEPCION SUPERIOR,CNSR,FMN,0,133,MR
226,MOLOACAN-351,CONCEPCION INFERIOR,CNIR,FMN,133,222,MR
227,MOLOACAN-351,ENCANTO,ENCT,FMN,222,650,MR
228,MOLOACAN-352,FILISOLA,FLSL,FMN,0,236,MR
229,MOLOACAN-352,CONCEPCION INFERIOR,CNIR,FMN,236,369,MR
230,MOLOACAN-352,ENCANTO,ENCT,FMN,369,650,MR
231,MOLOACAN-353,CONCEPCION SUPERIOR,CNSR,FMN,0,178,MR
232,MOLOACAN-353,CONCEPCION INFERIOR,CNIR,FMN,178,323,MR
233,MOLOACAN-353,ENCANTO,ENCT,FMN,323,650,MR
234,MOLOACAN-354,CONCEPCION INFERIOR,CNIR,FMN,0,124,MR
235,MOLOACAN-354,ENCANTO,ENCT,FMN,124,550,MR
236,MOLOACAN-355,CONCEPCION SUPERIOR,CNSR,FMN,0,23,MR
237,MOLOACAN-355,CONCEPCION INFERIOR,CNIR,FMN,23,148,MR
238,MOLOACAN-355,ENCANTO,ENCT,FMN,148,525,MR
239,MOLOACAN-356,CONCEPCION SUPERIOR,CNSR,FMN,0,55,MR
240,MOLOACAN-356,CONCEPCION INFERIOR,CNIR,FMN,55,180,MR
241,MOLOACAN-356,ENCANTO,ENCT,FMN,180,599,MR
242,MOLOACAN-356,OLIGOCENO,OLGN,FMN,599,600,MR
243,MOLOACAN-357,CONCEPCION SUPERIOR,CNSR,FMN,0,175,MR
244,MOLOACAN-357,ENCANTO,ENCT,FMN,175,568,MR
245,MOLOACAN-357,OLIGOCENO,OLGN,FMN,568,696,MR
246,MOLOACAN-357,ANHIDRITA,ANHI,FMN,696,697,MR
247,MOLOACAN-358,CONCEPCION SUPERIOR,CNSR,FMN,0,102,MR
248,MOLOACAN-358,CONCEPCION INFERIOR,CNIR,FMN,102,210,MR
249,MOLOACAN-358,ENCANTO,ENCT,FMN,210,600,MR
250,MOLOACAN-359,CONCEPCION INFERIOR,CNIR,FMN,0,138,MR
251,MOLOACAN-359,ENCANTO,ENCT,FMN,138,574,MR
252,MOLOACAN-359,OLIGOCENO,OLGN,FMN,574,692,MR
253,MOLOACAN-360,CONCEPCION SUPERIOR,CNSR,FMN,0,147,MR
254,MOLOACAN-360,CONCEPCION INFERIOR,CNIR,FMN,147,258,MR
255,MOLOACAN-360,ENCANTO,ENCT,FMN,258,680,MR
256,MOLOACAN-361,CONCEPCION SUPERIOR,CNSR,FMN,0,221,MR
257,MOLOACAN-361,CONCEPCION INFERIOR,CNIR,FMN,221,330,MR
258,MOLOACAN-361,ENCANTO,ENCT,FMN,330,785,MR
259,MOLOACAN-361,OLIGOCENO,OLGN,FMN,785,906,MR
260,MOLOACAN-361,ANHIDRITA,ANHI,FMN,906,909,MR
261,MOLOACAN-362,CONCEPCION INFERIOR,CNIR,FMN,0,143,MR
262,MOLOACAN-362,ENCANTO,ENCT,FMN,143,550,MR
263,MOLOACAN-363,CONCEPCION SUPERIOR,CNSR,FMN,0,172,MR
264,MOLOACAN-363,ENCANTO,ENCT,FMN,172,450,MR
265,MOLOACAN-364,CONCEPCION INFERIOR,CNIR,FMN,0,149,MR
266,MOLOACAN-364,ENCANTO,ENCT,FMN,149,500,MR
267,MOLOACAN-365,CONCEPCION INFERIOR,CNIR,FMN,0,125,MR
268,MOLOACAN-365,ENCANTO,ENCT,FMN,125,500,MR
269,MOLOACAN-366,CONCEPCION SUPERIOR,CNSR,FMN,0,225,MR
270,MOLOACAN-366,ENCANTO,ENCT,FMN,225,621,MR
271,MOLOACAN-366,OLIGOCENO,OLGN,FMN,621,653,MR
272,MOLOACAN-366,ANHIDRITA,ANHI,FMN,653,666,MR
273,MOLOACAN-367,CONCEPCION SUPERIOR,CNSR,FMN,0,53,MR
274,MOLOACAN-367,CONCEPCION INFERIOR,CNIR,FMN,53,161,MR
275,MOLOACAN-367,ENCANTO,ENCT,FMN,161,600,MR
276,MOLOACAN-368,CONCEPCION SUPERIOR,CNSR,FMN,0,66,MR
277,MOLOACAN-368,CONCEPCION INFERIOR,CNIR,FMN,66,182,MR
278,MOLOACAN-368,ENCANTO,ENCT,FMN,182,654,MR
279,MOLOACAN-368,OLIGOCENO,OLGN,FMN,654,746,MR
280,MOLOACAN-368,ANHIDRITA,ANHI,FMN,746,763,MR
281,MOLOACAN-369,CONCEPCION SUPERIOR,CNSR,FMN,0,125,MR
282,MOLOACAN-369,CONCEPCION INFERIOR,CNIR,FMN,125,247,MR
283,MOLOACAN-369,ENCANTO,ENCT,FMN,247,675,MR
284,MOLOACAN-370,CONCEPCION SUPERIOR,CNSR,FMN,0,103,MR
285,MOLOACAN-370,CONCEPCION INFERIOR,CNIR,FMN,103,225,MR
286,MOLOACAN-370,ENCANTO,ENCT,FMN,225,640,MR
287,MOLOACAN-370,OLIGOCENO,OLGN,FMN,640,749,MR
288,MOLOACAN-370,ANHIDRITA,ANHI,FMN,749,750,MR
289,MOLOACAN-371,CONCEPCION SUPERIOR,CNSR,FMN,0,169,MR
290,MOLOACAN-371,CONCEPCION INFERIOR,CNIR,FMN,169,291,MR
291,MOLOACAN-371,ENCANTO,ENCT,FMN,291,525,MR
292,MOLOACAN-372,CONCEPCION SUPERIOR,CNSR,FMN,0,198,MR
293,MOLOACAN-372,CONCEPCION INFERIOR,CNIR,FMN,198,321,MR
294,MOLOACAN-372,ENCANTO,ENCT,FMN,321,800,MR
295,MOLOACAN-373,CONCEPCION SUPERIOR,CNSR,FMN,0,215,MR
296,MOLOACAN-373,CONCEPCION INFERIOR,CNIR,FMN,215,350,MR
297,MOLOACAN-373,ENCANTO,ENCT,FMN,350,869,MR
298,MOLOACAN-373,OLIGOCENO,OLGN,FMN,869,981,MR
299,MOLOACAN-373,ANHIDRITA,ANHI,FMN,981,982,MR
300,MOLOACAN-374,PARAJE SOLO,PJSL,FMN,0,176,MR
301,MOLOACAN-374,FILISOLA,FLSL,FMN,176,235,MR
302,MOLOACAN-374,CONCEPCION SUPERIOR,CNSR,FMN,235,270,MR
303,MOLOACAN-374,CONCEPCION INFERIOR,CNIR,FMN,270,411,MR
304,MOLOACAN-374,ENCANTO,ENCT,FMN,411,465,MR
305,MOLOACAN-374,OLIGOCENO,OLGN,FMN,465,699,MR
306,MOLOACAN-375,CONCEPCION INFERIOR,CNIR,FMN,0,158,MR
307,MOLOACAN-375,ENCANTO,ENCT,FMN,158,525,MR
308,MOLOACAN-376,CONCEPCION INFERIOR,CNIR,FMN,0,163,MR
309,MOLOACAN-376,ENCANTO,ENCT,FMN,163,575,MR
310,MOLOACAN-376,OLIGOCENO,OLGN,FMN,575,700,MR
311,MOLOACAN-377,CONCEPCION SUPERIOR,CNSR,FMN,0,172,MR
312,MOLOACAN-377,ENCANTO,ENCT,FMN,172,560,MR
313,MOLOACAN-377,OLIGOCENO,OLGN,FMN,560,679,MR
314,MOLOACAN-377,ANHIDRITA,ANHI,FMN,679,680,MR
315,MOLOACAN-378,CONCEPCION SUPERIOR,CNSR,FMN,0,168,MR
316,MOLOACAN-378,CONCEPCION INFERIOR,CNIR,FMN,168,301,MR
317,MOLOACAN-378,ENCANTO,ENCT,FMN,301,735,MR
318,MOLOACAN-378,DEPOSITO,DPST,FMN,735,800,MR
319,MOLOACAN-379,CONCEPCION SUPERIOR,CNSR,FMN,0,169,MR
320,MOLOACAN-379,CONCEPCION INFERIOR,CNIR,FMN,169,292,MR
321,MOLOACAN-379,ENCANTO,ENCT,FMN,292,700,MR
322,MOLOACAN-380,CONCEPCION SUPERIOR,CNSR,FMN,0,240,MR
323,MOLOACAN-380,ENCANTO,ENCT,FMN,240,650,MR
324,MOLOACAN-381,CONCEPCION SUPERIOR,CNSR,FMN,0,136,MR
