NOMBRE_DEL_POZO,CIMA_(md),BASE_(md),NIVEL_DE_REFERENCIA,POROSIDAD_(%),VOLUMEN_DE_ARCILLA_(%),SATURACION_DE_AGUA_(%),FORMACION_GEOLOGICA,COMENTARIOS,
MOLOACAN-396,252,254,MR,15,SIN INFORMACION,14,ENCANTO,ACEITE VISCOSO,
MOLOACAN-396,262,265,MR,19,SIN INFORMACION,42,ENCANTO,ACEITE VISCOSO,
MOLOACAN-396,274,276,MR,20,SIN INFORMACION,35,ENCANTO,ACEITE VISCOSO,
MOLOACAN-396,292,299,MR,14,SIN INFORMACION,25,ENCANTO,APORTO GAS,
MOLOACAN-396,336,338,MR,20,SIN INFORMACION,44,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-396,368,370,MR,16,SIN INFORMACION,41,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-396,402,404,MR,16,SIN INFORMACION,50,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-396,425,435,MR,25,SIN INFORMACION,48,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-396,439,442,MR,17,SIN INFORMACION,41,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-396,448,450,MR,16,SIN INFORMACION,41,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-396,463,471,MR,18,SIN INFORMACION,26,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-398,426,434,MR,17,SIN INFORMACION,27,ENCANTO,SIN DATOS,
MOLOACAN-399,255,259,MR,13,SIN INFORMACION,15,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-399,261,268,MR,21,SIN INFORMACION,33,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-399,294,296,MR,19,SIN INFORMACION,33,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-399,303,307,MR,18,SIN INFORMACION,35,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-399,311.5,312.5,MR,21,SIN INFORMACION,36,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-399,375,377,MR,21,SIN INFORMACION,29,ENCANTO,"Qo= 3.0 M3/D, Qw= 0.5% de 95000 PPM",
MOLOACAN-399,385,388,MR,21,SIN INFORMACION,30,ENCANTO,"Qo= 3.0 M3/D, Qw= 0.5% de 95000 PPM",
MOLOACAN-399,408,412,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,AGUA SALADA,
MOLOACAN-399,421,427.5,MR,14,SIN INFORMACION,15,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-400,327,335,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,"EL POZO CAYO DENTRO LA ZONA DE AGUA MARGINAL Y SE ENCUENTRA LOCALIZADO AL SE DE LA ESTRUCTURA TUNEL-MOLOACAN, POR LO ANTERIOR EXPUESTO SE TAPONO IMPRODUCTIVO DANDOSE POR TERMINADO EN 1971.", 
MOLOACAN-401,326,328,MR,21,SIN INFORMACION,48,ENCANTO,EL POZO ESTA ACTUALMENTE TAPONADO POR EXPLOTACION PRIMARIO Y NO TENER INTERVALOS PENDIENTES DE EXPLOTAR., 
MOLOACAN-401,371,381,MR,18,SIN INFORMACION,38,ENCANTO,EL POZO ESTA ACTUALMENTE TAPONADO POR EXPLOTACION PRIMARIO Y NO TENER INTERVALOS PENDIENTES DE EXPLOTAR., 
MOLOACAN-401,369,372,MR,23,SIN INFORMACION,35,ENCANTO,EL POZO ESTA ACTUALMENTE TAPONADO POR EXPLOTACION PRIMARIO Y NO TENER INTERVALOS PENDIENTES DE EXPLOTAR., 
MOLOACAN-401,279,287,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,EL POZO ESTA ACTUALMENTE TAPONADO POR EXPLOTACION PRIMARIO Y NO TENER INTERVALOS PENDIENTES DE EXPLOTAR., 
MOLOACAN-401,252,256,MR,30,SIN INFORMACION,34,ENCANTO,NO APORTO PRODUCCION, 
MOLOACAN-401,221,225,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,NO APORTO PRODUCCION, 
MOLOACAN-402,269,272,MR,15,SIN INFORMACION,21,ENCANTO,ACTUALMENTE TAPONADO POR EXPLOTACION PRIMARIA Y NO TIENE INTERVALOS PENDIENTES DE EXPLOTAR, 
MOLOACAN-403,265,270,MR,13,SIN INFORMACION,28,ENCANTO,"POZO OPERABA CON BN, ACTUALMENTE POZO TAPONADO POR EXPLOTACION PRIMARIA Y NO TIENE INTERVALOS PENDIENTES DE EXPLOTAR", 
MOLOACAN-403,278,281,MR,12,SIN INFORMACION,59,ENCANTO,"POZO OPERABA CON BN, ACTUALMENTE POZO TAPONADO POR EXPLOTACION PRIMARIA Y NO TIENE INTERVALOS PENDIENTES DE EXPLOTAR", 
MOLOACAN-403,255,260,MR,13,SIN INFORMACION,24,ENCANTO,"POZO OPERABA CON BN, ACTUALMENTE POZO TAPONADO POR EXPLOTACION PRIMARIA Y NO TIENE INTERVALOS PENDIENTES DE EXPLOTAR", 
MOLOACAN-404,446,448,MR,18,SIN INFORMACION,61,ENCANTO,POZO ACTUALMENTE TAPONADO POR EXPLOTACION PRIMARIA Y NO TIENE INTERVALOS PENDIENTES DE EXPLOTAR, 
MOLOACAN-404,411,415,MR,21,SIN INFORMACION,70,ENCANTO,"APORTARON AGUA SALADA, ACTUALMENTE POZO TAPONADO", 
MOLOACAN-404,342,344,MR,22,SIN INFORMACION,75,ENCANTO,"APORTARON AGUA SALADA, ACTUALMENTE POZO TAPONADO", 
MOLOACAN-406,255,269,MR,15,SIN INFORMACION,17,ENCANTO,SIN DATOS,
MOLOACAN-406,288,294,MR,15,SIN INFORMACION,43,ENCANTO,INTERVALO PRODUCTOR DE ACEITE Y GAS,
MOLOACAN-406,302,306,MR,16,SIN INFORMACION,32,ENCANTO,INTERVALO PRODUCTOR DE ACEITE Y GAS,
MOLOACAN-406,330,336,MR,15,SIN INFORMACION,38,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-406,402,404,MR,14,SIN INFORMACION,21,ENCANTO,SIN DATOS,
MOLOACAN-406,412,416,MR,15,SIN INFORMACION,37,ENCANTO,SIN DATOS,
MOLOACAN-406,432,436,MR,17,SIN INFORMACION,30,ENCANTO,SIN DATOS,
MOLOACAN-406,469,481,MR,19,SIN INFORMACION,28,ENCANTO,INTERVALO PRODUCTOR DE ACEITE Y GAS,
MOLOACAN-407,237,249,MR,15,SIN INFORMACION,16,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-407,273,275,MR,22,SIN INFORMACION,51,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-407,307,313,MR,16,SIN INFORMACION,38,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-407,317,326,MR,16,SIN INFORMACION,17,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-407,333,339,MR,20,SIN INFORMACION,30,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-407,348,351,MR,20,SIN INFORMACION,46,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-407,392,396,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-407,405,408,MR,20,SIN INFORMACION,30,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-407,420,422,MR,20,SIN INFORMACION,40,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-407,436,439,MR,23,SIN INFORMACION,23,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-407,445,449,MR,20,SIN INFORMACION,40,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-408,305,311,MR,18,SIN INFORMACION,29,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-408,315,317,MR,19,SIN INFORMACION,24,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-408,317,319,MR,22,SIN INFORMACION,28,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-408,431,435,MR,23,SIN INFORMACION,35,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-408,458,464,MR,21,SIN INFORMACION,30,ENCANTO,INTERVALO PRODUCTOR DE ACEITE Y GAS,
MOLOACAN-408,469,474,MR,19,SIN INFORMACION,30,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-408,492,500,MR,17,SIN INFORMACION,17,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-409,250,258,MR,17,SIN INFORMACION,17,ENCANTO,SIN DATOS,
MOLOACAN-409,304,307,MR,30,SIN INFORMACION,25,ENCANTO,SIN DATOS,
MOLOACAN-409,314,318,MR,27,SIN INFORMACION,23,ENCANTO,SIN DATOS,
MOLOACAN-409,398,402,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,OPERO POR B.M.,
MOLOACAN-410,372,380,MR,17,SIN INFORMACION,45,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-410,412,414,MR,17,SIN INFORMACION,47,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-410,424,427,MR,12,SIN INFORMACION,70,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-410,433,438,MR,17,SIN INFORMACION,50,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-410,453,460,MR,17,SIN INFORMACION,50,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-410,538,547,MR,25,SIN INFORMACION,26,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO NEUMATICO, 
MOLOACAN-412,421,424,MR,18,SIN INFORMACION,39,ENCANTO,EL POZO QUEDO COMO PRODUCTOR DE ACEITE SENCILLO EN BOMEBO MECANICO EL DIA 21 DE ENERO DE 1971, 
MOLOACAN-412,435,437,MR,20,SIN INFORMACION,33,ENCANTO,EL POZO QUEDO COMO PRODUCTOR DE ACEITE SENCILLO EN BOMEBO MECANICO EL DIA 21 DE ENERO DE 1971, 
MOLOACAN-413,203,210,MR,18,SIN INFORMACION,12,ENCANTO,"DEBIDO A SU AGOTAMIENTO POR EXPLOTACION PRIMARIA EL POZO NO CUENTA CON LA RECUPERACION SUFICIENTE DE FLUIDOS PARA SEGUIR EN EXPLOTACION, ES POR ESO QUE EL POZO SE ENCUENTRA TAPONADO ACTUALMENTE.", 
MOLOACAN-413,245,248,MR,17,SIN INFORMACION,13,ENCANTO,"DEBIDO A SU AGOTAMIENTO POR EXPLOTACION PRIMARIA EL POZO NO CUENTA CON LA RECUPERACION SUFICIENTE DE FLUIDOS PARA SEGUIR EN EXPLOTACION, ES POR ESO QUE EL POZO SE ENCUENTRA TAPONADO ACTUALMENTE.", 
MOLOACAN-413,270,273,MR,21,SIN INFORMACION,15,ENCANTO,"DEBIDO A SU AGOTAMIENTO POR EXPLOTACION PRIMARIA EL POZO NO CUENTA CON LA RECUPERACION SUFICIENTE DE FLUIDOS PARA SEGUIR EN EXPLOTACION, ES POR ESO QUE EL POZO SE ENCUENTRA TAPONADO ACTUALMENTE.", 
MOLOACAN-413,329,333,MR,22,SIN INFORMACION,23,ENCANTO,"DEBIDO A SU AGOTAMIENTO POR EXPLOTACION PRIMARIA EL POZO NO CUENTA CON LA RECUPERACION SUFICIENTE DE FLUIDOS PARA SEGUIR EN EXPLOTACION, ES POR ESO QUE EL POZO SE ENCUENTRA TAPONADO ACTUALMENTE.", 
MOLOACAN-413,340,346,MR,20,SIN INFORMACION,40,ENCANTO,"DEBIDO A SU AGOTAMIENTO POR EXPLOTACION PRIMARIA EL POZO NO CUENTA CON LA RECUPERACION SUFICIENTE DE FLUIDOS PARA SEGUIR EN EXPLOTACION, ES POR ESO QUE EL POZO SE ENCUENTRA TAPONADO ACTUALMENTE.", 
MOLOACAN-416,505,509,MR,23,SIN INFORMACION,31,SIN INFORMACION,INTERVALO PRODUCTOR DE ACEITE, 
MOLOACAN-416,513,517,MR,16,SIN INFORMACION,55,SIN INFORMACION,INTERVALO PRODUCTOR DE ACEITE Y GAS,
MOLOACAN-416,525,530,MR,20,SIN INFORMACION,90,SIN INFORMACION,INTERVALO PRODUCTOR DE ACEITE Y GAS,
MOLOACAN-416,560,562,MR,26,SIN INFORMACION,40,SIN INFORMACION,PRODUCCION DE ACEITE,
MOLOACAN-417,552,560,MR,19,SIN INFORMACION,51,ENCANTO,RESULTANDO PRODUCTOR DE ACEITE; EL POZO FUE TERMINADO EL 12 DE OCTUBRE DE 1971, 
MOLOACAN-418,327,329,MR,19,SIN INFORMACION,21,SIN INFORMACION,PRODUCTOR DE ACEITE SENCILLO POR BOMBEO MECANICO, 
MOLOACAN-418,413,417,MR,26,SIN INFORMACION,38,SIN INFORMACION,PRODUCTOR DE ACEITE SENCILLO POR BOMBEO MECANICO, 
MOLOACAN-421,218,220,MR,9,SIN INFORMACION,66,ENCANTO,POZO FLUYENDO A CABEZADAS, 
MOLOACAN-421,229,231,MR,8,SIN INFORMACION,65,ENCANTO,POZO FLUYENDO A CABEZADAS,
MOLOACAN-421,236,238,MR,8,SIN INFORMACION,75,ENCANTO,DESALOJO GAS Y ACEITE,
MOLOACAN-421,250,255,MR,26,SIN INFORMACION,12,ENCANTO,SIN DATO,
MOLOACAN-421,256,261,MR,25,SIN INFORMACION,36,ENCANTO,PRODUCTOR DE ACEITE LIMPIO POR BOMBEO MECANICO, 
MOLOACAN-421,268,271,MR,11,SIN INFORMACION,53,ENCANTO,INTERVALO CON PRODUCCION, 
MOLOACAN-421,272,277,MR,12,SIN INFORMACION,59,ENCANTO,INTERVALO CON PRODUCCION, 
MOLOACAN-421,301,303,MR,14,SIN INFORMACION,49,ENCANTO,INTERVALO CON PRODUCCION, 
MOLOACAN-422,241,243,MR,17,SIN INFORMACION,36,ENCANTO,ACEITE VISCOSO Y AGUA SALADA, 
MOLOACAN-422,279,285,MR,28,SIN INFORMACION,28,ENCANTO,ACEITE VISCOSO Y AGUA SALADA, 
MOLOACAN-422,328,333,MR,23,SIN INFORMACION,20,ENCANTO,OPEROCON ACEITE Y GAS POCO TIEMPO POR BAJA RECUPERACION, 
MOLOACAN-422,442,445,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,APORTO ACEITE POR BOMBEO MECANICO, 
MOLOACAN-422,462,467,MR,26,SIN INFORMACION,25,ENCANTO,APORTO ACEITE POR BOMBEO MECANICO, 
MOLOACAN-422,491,497,MR,16,SIN INFORMACION,16,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO MECANICO, 
MOLOACAN-423,283,287,MR,19,SIN INFORMACION,24,ENCANTO,POZO PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-423,291,295,MR,29,SIN INFORMACION,52,ENCANTO,POZO PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-423,300,301,MR,19,SIN INFORMACION,46,ENCANTO,POZO PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-423,327,333,MR,16,SIN INFORMACION,41,ENCANTO,POZO PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-424,664,670,MR,12,SIN INFORMACION,60,ENCANTO,SE TERMINO COMO PRODUCTOR DE ACEITE EN BOMBEO MECANICO Y EL POZO ESTA ACTUALMENTE TAPONADO, 
MOLOACAN-425,419,422,MR,26,SIN INFORMACION,47,ENCANTO,SE TERMINO COMO PRODUCTOR DE ACEITE EN BOMBEO MECANICO, 
MOLOACAN-427,330,342,MR,22,SIN INFORMACION,45,ENCANTO,SE TERMINO COMO PRODUCTOR DE ACEITE,
MOLOACAN-429,251,257,MR,15,SIN INFORMACION,49,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO MECANICO,
MOLOACAN-429,277,279,MR,15,SIN INFORMACION,49,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO MECANICO,
MOLOACAN-430,378,390,MR,30,SIN INFORMACION,29,ENCANTO,POZO INYECTOR DE AGUA,
MOLOACAN-430,393,399,MR,26,SIN INFORMACION,28,ENCANTO,POZO INYECTOR DE AGUA,
MOLOACAN-430,447,455,MR,28,SIN INFORMACION,27,ENCANTO,POZO INYECTOR DE AGUA,
MOLOACAN-430,457,462,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,POZO INYECTOR DE AGUA,
MOLOACAN-431,208,212,MR,12,SIN INFORMACION,38,ENCANTO,OPERANDO CON BOMBEO NEUMATICO,
MOLOACAN-431,216,219,MR,16,SIN INFORMACION,12,ENCANTO,OPERANDO CON BOMBEO NEUMATICO,
MOLOACAN-431,221,224,MR,16,SIN INFORMACION,12,ENCANTO,OPERANDO CON BOMBEO NEUMATICO,
MOLOACAN-431,248,254,MR,15,SIN INFORMACION,40,ENCANTO,NO APORTO,
MOLOACAN-431,324,330,MR,16,SIN INFORMACION,42,ENCANTO,SIN DATO,
MOLOACAN-431,350,357,MR,12,SIN INFORMACION,42,ENCANTO,CERRADO POR BR,
MOLOACAN-431,372,374,MR,23,SIN INFORMACION,42,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO MECANICO, 
MOLOACAN-431,394,396,MR,18,SIN INFORMACION,40,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO MECANICO, 
MOLOACAN-431,409,411,MR,18,SIN INFORMACION,40,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO MECANICO, 
MOLOACAN-432,328,333,MR,25,SIN INFORMACION,16,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO NEUMATICO, 
MOLOACAN-432,362,378,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,OBSERVO POZO SATISFACTORIAMNETE, 
MOLOACAN-432,389,394,MR,19,SIN INFORMACION,15,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO NEUMATICO, 
MOLOACAN-433,281,289,MR,22,SIN INFORMACION,14,ENCANTO,PRODUCTOR DE ACEITE VISCOSO,
MOLOACAN-433,309,313,MR,15,SIN INFORMACION,39,ENCANTO,FLUYENTE DE ACEITE LIMPIO,
MOLOACAN-433,317,321,MR,14,SIN INFORMACION,21,ENCANTO,FLUYENTE DE ACEITE LIMPIO,
MOLOACAN-433,341,346,MR,19,SIN INFORMACION,46,ENCANTO,FLUYENTE DE ACEITE LIMPIO,
MOLOACAN-433,354,363,MR,13,SIN INFORMACION,SIN INFORMACION,ENCANTO,FLUYENTE DE ACEITE LIMPIO,
MOLOACAN-433,374,376,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,PRODUCTOR DE ACEITE,
MOLOACAN-434,260,263,MR,15,SIN INFORMACION,13,ENCANTO,OPERO POR B.N. DESALOJANDO ACEITE Y GAS CON INTERMITENCIAS, 
MOLOACAN-434,270,272,MR,13,SIN INFORMACION,13,ENCANTO,OPERO POR B.N. DESALOJANDO ACEITE Y GAS CON INTERMITENCIAS, 
MOLOACAN-434,309,314,MR,12,SIN INFORMACION,23,ENCANTO,DESPLAZO AGUA CON ACEITE,
MOLOACAN-434,330,332,MR,17,SIN INFORMACION,24,ENCANTO,APORTO ACEITE / BAJA RECUPERACION,
MOLOACAN-435,276,286,MR,11,SIN INFORMACION,17,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-435,320,324,MR,14,SIN INFORMACION,22,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO MECANICO,
MOLOACAN-436,287,294,MR,17,SIN INFORMACION,22,ENCANTO,ACEITE / BAJA RECUPERACION,
MOLOACAN-437,239,241,MR,16,SIN INFORMACION,69,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-437,252,259,MR,18,SIN INFORMACION,20,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-437,272,276,MR,20,SIN INFORMACION,18,ENCANTO,PRODUCTOR DE ACEITE Qoi= 3.3 M3/D,
MOLOACAN-437,292,304,MR,18,SIN INFORMACION,48,ENCANTO,"Qoi= 5.5 M3/D, RGA= 124 M3/M3",
MOLOACAN-437,361,367,MR,16,SIN INFORMACION,69,ENCANTO,"Qoi= 1.6 M3/D, Agua= 5.7 %",
MOLOACAN-437,370,374,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,"Qoi= 1.6 M3/D, Agua= 5.7 %",
MOLOACAN-437,389,391,MR,18,SIN INFORMACION,43,ENCANTO,PRODUCTOR DE ACEITE Y GAS,
MOLOACAN-438,235,247,MR,17,SIN INFORMACION,22,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO MECANICO, 
MOLOACAN-438,288,297,MR,14,SIN INFORMACION,42,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO NEUMATICO, 
MOLOACAN-438,297,300,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,OP. POR B.N. CON BAJA RECUPERACION, 
MOLOACAN-439,225,228,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,ACEITE VISCOSO,
MOLOACAN-439,247,249,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,ACEITE VISCOSO,
MOLOACAN-439,250,253,MR,13,SIN INFORMACION,66,ENCANTO,APORTO ACEITE 98 M3 SALE X BR,
MOLOACAN-439,299,305,MR,18,SIN INFORMACION,53,ENCANTO,AGUA SALADA 145000 PPM,
MOLOACAN-439,368,374,MR,16,SIN INFORMACION,34,ENCANTO,OPERO POR B.M. CON BAJA RECUPERACION,
MOLOACAN-439,388,392,MR,16,SIN INFORMACION,31,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO MECANICO POR POCOS MESES, 
MOLOACAN-440,506,509,MR,27,SIN INFORMACION,22,ENCANTO,SIN DATO, 
MOLOACAN-440,522,527,MR,22,SIN INFORMACION,42,ENCANTO,PRODUCTOR DE ACEITE POR B.M., 
MOLOACAN-441,557,561,MR,24,SIN INFORMACION,48,ENCANTO,SE TERMINO COMO PRODUCTOR DE ACEITE CON BOMBEO NEUMATICO, 
MOLOACAN-442,515,522,MR,17,SIN INFORMACION,47,ENCANTO,SIN DATOS DE PRODUCCION, 
MOLOACAN-442,527,530,MR,21,SIN INFORMACION,49,ENCANTO,OPERO EN FORMA CONTINUA POR B.N.,
MOLOACAN-442,538,541,MR,16,SIN INFORMACION,40,ENCANTO,OPERO EN FORMA CONTINUA POR B.N.,
MOLOACAN-442,569,574,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,PRODUCTOR DE ACEITE LIMPIO,
MOLOACAN-443,303,305,MR,21,SIN INFORMACION,42,ENCANTO,POZO OPERANDO CON BOMBEO MECANICO Y ACTUALMENTE TAPONADO POR EXPLOTACION PRIMARIA Y YA NO TENER INTERVALOS PENDIENTES DE EXPLOTAR, 
MOLOACAN-443,294,297,MR,19,SIN INFORMACION,35,ENCANTO,POZO OPERANDO CON BOMBEO MECANICO Y ACTUALMENTE TAPONADO POR EXPLOTACION PRIMARIA Y YA NO TENER INTERVALOS PENDIENTES DE EXPLOTAR, 
MOLOACAN-444,290,293,MR,13,SIN INFORMACION,18,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO NEUMATICO, 
MOLOACAN-444,344,349,MR,12,SIN INFORMACION,23,ENCANTO,PRODUCTOR DE ACEITE LIMPIO CON BOMBEO MECANICO, 
MOLOACAN-444,355,358,MR,13,SIN INFORMACION,42,ENCANTO,OBSERVO POZO DESALOJANDO ACEITE POR BOMBEO NEUMATICO, 
MOLOACAN-444,373,377,MR,13,SIN INFORMACION,20,ENCANTO,SONDEO DESALOJANDO ACEITE, 
MOLOACAN-444,391,398,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,OBSERVO POZO DESALOJANDO ACEITE POR BOMBEO NEUMATICO, 
MOLOACAN-444,409,420,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,OBSERVO POZO DESALOJANDO ACEITE POR BOMBEO NEUMATICO, 
MOLOACAN-445,377,379,MR,23,SIN INFORMACION,26,ENCANTO,POZO ACONDICIONADO PARA INYECCION DE AGUA, 
MOLOACAN-445,340,344,MR,27,SIN INFORMACION,34,ENCANTO,POZO ACONDICIONADO PARA INYECCION DE AGUA, 
MOLOACAN-445,427.5,429.5,MR,33,SIN INFORMACION,37,ENCANTO,POZO ACONDICIONADO PARA INYECCION DE AGUA, 
MOLOACAN-445,229,232,MR,16,SIN INFORMACION,27,ENCANTO,POZO ACONDICIONADO PARA INYECCION DE AGUA, 
MOLOACAN-445,218,225,MR,17,SIN INFORMACION,32,ENCANTO,POZO ACONDICIONADO PARA INYECCION DE AGUA, 
MOLOACAN-445,197,209,MR,20,SIN INFORMACION,34,ENCANTO,POZO ACONDICIONADO PARA INYECCION DE AGUA, 
MOLOACAN-446,311,316,MR,16,SIN INFORMACION,38,ENCANTO,SE DIO POR TERMINADO COMO PRODUCTOR DE ACEITE POR BOMBEO MECANICO, 
MOLOACAN-446,306,311,MR,16,SIN INFORMACION,38,ENCANTO,SE DISPARO POR ERROR OBSERVANDOSE POZO SIN APORTAR FLUIDOS, 
MOLOACAN-447,245,249,MR,9,SIN INFORMACION,39,ENCANTO,ABRIO POZO LIBRE AL QUEMADOR SIN FLUIR, 
MOLOACAN-448,277,280,MR,11,SIN INFORMACION,51,ENCANTO,"PRODUCTOR DE ACEITE POR BOMBEO MECANICO, QUEDANDO PENDIENTE DE INSTALAR EL BM Y LA LINEA DE ESCURRIMIENTO", 
MOLOACAN-449,239,250,MR,13,SIN INFORMACION,30,ENCANTO,FLUYO SIN PRESION, 
MOLOACAN-449,252,256,MR,13,SIN INFORMACION,27,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE, 
MOLOACAN-449,278,281,MR,13,SIN INFORMACION,45,ENCANTO,FLUYO SIN PRESION, 
MOLOACAN-449,304,309,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,NO APORTO,
MOLOACAN-449,313,316,MR,13,SIN INFORMACION,38,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-449,357,359,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,"POR SONDEO, NIVEL A 280 M.",
MOLOACAN-449,363,365,MR,19,SIN INFORMACION,45,ENCANTO,"POR SONDEO, NIVEL A 280 M.",
MOLOACAN-449,377,380,MR,15,SIN INFORMACION,31,ENCANTO,"REDISPARO, SIN APORTAR",
MOLOACAN-450,383,385,MR,27,SIN INFORMACION,51,ENCANTO,COMO PRODUCTOR DE ACEITE POR BOMBEO MECANICO, 
MOLOACAN-450,333,337,MR,27,SIN INFORMACION,48,ENCANTO,COMO PRODUCTOR DE ACEITE POR BOMBEO MECANICO, 
MOLOACAN-451,434,440,MR,20,SIN INFORMACION,18,ENCANTO,ACTUALMENTE POZO TAPONADO POR NO TENER INTERVALOS PENDIENTES DE ABRIR, 
MOLOACAN-451,318,320,MR,11,SIN INFORMACION,69,ENCANTO,ACTUALMENTE POZO TAPONADO POR NO TENER INTERVALOS PENDIENTES DE ABRIR, 
MOLOACAN-451,293,297,MR,19,SIN INFORMACION,26,ENCANTO,ACTUALMENTE POZO TAPONADO POR NO TENER INTERVALOS PENDIENTES DE ABRIR, 
MOLOACAN-452,312,320,MR,13,SIN INFORMACION,15,ENCANTO,APORTO ACEITE LIMPIO POR BM, 
