NOMBRE DE POZO,TIPO DE TERMINACION,CIMA DE INTERVALO,BASE DE INTERVALO,"PROGRAMA
",NOMBRE DEL YACIMIENTO,ESTADO ACTUAL DEL INTERVALO,CIMA DISPARO,BASE DISPARO,FECHA DE DISPARO,FECHA DE CIERRE,TIPO DE PISTOLA,DIAMETRO DE LA PISTOLA,DENSIDAD DE CARGA,LONGITUD DEL DISPARO,FASE DEL DISPARO,DIAMETRO DEL DISPARO
MOLOACAN-304,INTERVALO DISPARADO,358,362,TERMINACION,ENCANTO,AISLADO TXC,358,362,13/07/1967,29/08/1975,CJ,1.6875,13,4,90,0.31
MOLOACAN-304,INTERVALO DISPARADO,349,352,TERMINACION,ENCANTO,AISLADO TXC,349,352,13/07/1967,29/08/1975,CJ,1.6875,13,3,90,0.31
MOLOACAN-304,INTERVALO DISPARADO,368,373,REPARACION,ENCANTO,AISLADO TXC,368,373,19/04/1973,29/08/1975,CJ,1.6875,13,5,90,0.31
MOLOACAN-304,INTERVALO DISPARADO,273,278,REPARACION,ENCANTO,CEMENTADO,273,278,27/08/1975,14/02/2003,CJ,1.6875,13,5,90,0.31
MOLOACAN-304,INTERVALO DISPARADO,246,251,REPARACION,ENCANTO,CEMENTADO,246,251,27/08/1975,14/02/2003,CJ,1.6875,13,5,90,0.31
MOLOACAN-304,INTERVALO DISPARADO,273,278,REPARACION,ENCANTO,CEMENTADO,273,278,04/09/1975,14/02/2003,CJ,1.6875,13,5,90,0.31
MOLOACAN-305,INTERVALO DISPARADO,254,260,TERMINACION,ENCANTO,CEMENTADO,254,260,20/07/1967,02/03/1973,CJ,1.6875,13,6,90,0.31
MOLOACAN-305,INTERVALO DISPARADO,423,427,REPARACION,ENCANTO,CEMENTADO,423,427,07/03/1973,27/05/2002,CJ,1.6875,13,4,90,0.31
MOLOACAN-305,INTERVALO DISPARADO,383,389,REPARACION,ENCANTO,CEMENTADO,383,389,07/03/1973,27/05/2002,CJ,1.6875,13,6,90,0.31
MOLOACAN-306,INTERVALO DISPARADO,362,370,TERMINACION,ENCANTO,AISLADO,362,370,09/08/1967,11/09/1972,CJ,1.6875,13,8,90,0.31
MOLOACAN-306,INTERVALO DISPARADO,334,336,TERMINACION,ENCANTO,AISLADO,334,336,10/08/1967,11/09/1972,CJ,1.6875,13,8,90,0.31
MOLOACAN-306,INTERVALO DISPARADO,220.7,221,REPARACION,ENCANTO,CEMENTADO,221,227.7,12/09/1972,13/09/1972,SCALLOP,1.5625,SIN INFORMACION,0.3,SIN INFORMACION,SIN INFORMACION
MOLOACAN-306,INTERVALO DISPARADO,215,221,REPARACION,ENCANTO,CEMENTADO,215,221,14/09/1972,16/09/1972,SCALLOP,1.5625,SIN INFORMACION,6,SIN INFORMACION,SIN INFORMACION
MOLOACAN-306,INTERVALO DISPARADO,214,218,REPARACION,ENCANTO,CEMENTADO,214,218,17/09/1972,12/02/2003,SCALLOP,1.5625,SIN INFORMACION,6,SIN INFORMACION,SIN INFORMACION
MOLOACAN-308,INTERVALO DISPARADO,574,575,TERMINACION,ENCANTO,CEMENTADO,574,575,05/06/1964,06/06/1964,BJ,4,12,1,SIN INFORMACION,0.5
MOLOACAN-308,INTERVALO DISPARADO,549,550,TERMINACION,ENCANTO,CEMENTADO,574,575,06/06/1964,06/06/1964,BJ,4,12,1,SIN INFORMACION,0.5
MOLOACAN-308,INTERVALO DISPARADO,570,573,TERMINACION,ENCANTO,AISLADO TXC,570,573,08/06/1964,10/06/1964,CJ,2.125,13,3,SIN INFORMACION,0.5
MOLOACAN-308,INTERVALO DISPARADO,551,554,TERMINACION,ENCANTO,AISLADO TXC,551,554,10/06/1964,11/06/1964,CJ,2.125,13,3,SIN INFORMACION,0.5
MOLOACAN-308,INTERVALO DISPARADO,370,371,TERMINACION,ENCANTO,CEMENTADO,370,371,11/06/1964,11/06/1964,BJ,4,12,1,SIN INFORMACION,0.5
